atomic,title,comment
Agent.call_dify,调用Dify工作流,调用Dify工作流 @{app_token} ，完成您指定的任务。
Agent.call_dify_chatflow,调用Dify对话流,调用Dify对话流 @{app_token} ，完成您指定的任务。
Agent.call_xcagent,调用星辰Agent流程,调用星辰Agent流程 @{flow_id} ，完成您指定的任务。
Agent.call_astron_agent,,
ChatAI.single_turn_chat,单轮会话,大模型将对你提出的问题： @{query} 进行回答。
ChatAI.chat,多轮会话,大模型将扮演角色，并进行最多 (@{max_turns}) 问答次数。
ChatAI.knowledge_chat,知识问答,大模型将读取的文件位于 @{file_path} 。
ContractAI.get_factors,合同要素提取,提取合同 @{contract_content} 中的要素。
DocumentAI.theme_expand,主题扩写,大模型将根据您给定的主题： @{theme_text} ，对其进行扩写。
DocumentAI.sentence_expand,段落扩写,大模型将根据您给定的段落 @{paragraph_text} ，对其进行扩写。
DocumentAI.sentence_reduce,段落缩写,大模型将根据您给定的段落 @{sentence_text} ，对其进行缩写。
RecruitAI.generate_keywords,职位关键词生成,根据职位描述 @{job_description} 生成关键词。
RecruitAI.rating_resume,简历评分,根据简历 @{resume_content} 评分。
BrowserElement.wait_element,等待元素（web）,等待浏览器对象 @{browser_obj} 中元素 @{element_data} 的（@{ele_status}）
BrowserElement.click,点击元素（web）,通过 @{button_type:点击} 的形式点击浏览器对象 @{browser_obj} 中的元素 @{element_data}
BrowserElement.input,填写输入框（web）,在指定的浏览器对象 @{browser_obj} 中拾取输入框 @{element_data} ，以 @{fill_type:键盘输入/剪贴板输入} 的形式输入内容 ，将执行结果输出至 @{form_input}
BrowserElement.hover_over,鼠标悬停在元素上（web）,鼠标悬停在浏览器对象 @{browser_obj} 中的元素 @{element_data} 上
BrowserElement.screenshot,拾取元素截图（web）,拾取浏览器对象 @{browser_obj} 的元素 @{element_data} 并输出为图片
BrowserElement.position_screenshot,元素位置截图（web）,获取浏览器对象 @{browser_obj} 的元素 @{element_data} 位置截图并输出为图片
BrowserElement.scroll,网页滚动,通过 @{scroll_direction:横向/纵向} 的方向，从（@{x_scroll_type||y_scroll_type}）滚动浏览器对象 @{browser_obj} 的滚动条
BrowserElement.scroll_into_view,元素置于可视区域（web）,将网页元素 @{element_data} 置于可视区域
BrowserElement.similar,获取相似元素列表（web）,获取浏览器对象 @{browser_obj} 中与拾取到的元素 @{element_data} 相似的元素，并将相似元素数组输出至 @{get_similar_ele}
BrowserElement.loop_similar,循环相似元素列表（web）,获取浏览器对象 @{browser_obj} 中与拾取到的元素 @{element_data} 相似的元素，从起始项@{start}到结束项@{end}进行循环操作，输出列表循环至@{item}, 是否输出循环项位置为@{index}
BrowserElement.element_text,获取元素文本内容（web）,获取浏览器对象 @{browser_obj} 网页中拾取的元素 @{element_data} 文本内容，并将结果输出至 @{data_pick}
BrowserElement.slider_hover,拾取滑块拖拽（web）,将滑块 @{element_slider} 从 @{drag_type} 向 @{drag_direction} 拖拽 @{percent_value} %
BrowserElement.get_select,获取下拉框（web）,在浏览器对象 @{browser_obj} 中获取下拉框 @{element_data}
BrowserElement.get_checked,获取复选框（web）,在浏览器对象 @{browser_obj} 中获取复选框 @{element_data}
BrowserElement.set_select,操作下拉框（web）,在浏览器对象 @{browser_obj} 中获取下拉框 @{element_data} ，通过 @{pattern} 选择 @{value}
BrowserElement.set_checked,操作复选框（web）,在浏览器对象 @{browser_obj} 中获取复选框 @{element_data} 后 @{checked_type}
BrowserElement.element_operation,元素操作（web）,在浏览器对象 @{browser_obj} 中获取 @{element_data} 并 @{operation_type}
BrowserElement.get_table,获取表格数据（web）,获取浏览器对象 @{browser_obj} 中的表格 @{element_data} ，将结果输出为 @{table_pick}
BrowserElement.data_batch,数据抓取（web）,在指定的浏览器对象 @{browser_obj} 中抓取 @{batch_data} ，将结果输出为 @{table_pick}
BrowserElement.create_element,获取元素对象（web）,在指定的浏览器对象 @{browser_obj} 中根据 @{locate_type}获取元素对象 ，将结果输出为元素对象 @{element_obj}
BrowserElement.get_relative_element,获取关联元素（web）,在指定的浏览器对象 @{browser_obj} 中获取 @{element_data} 关联的 @{relative_type}，将结果输出为元素对象 @{element_obj}
BrowserElement.element_exist,元素是否存在（web）,浏览器对象 @{browser_obj} 中元素 @{element_data} 是否存在
BrowserScript.js_run,Js脚本,通过 @{input_type:在线编辑/外部导入方式} 编辑脚本内容 @{content||file_path} ，执行JavaScript，脚本执行结果保存至 @{program_script}
BrowserSoftware.browser_open,打开浏览器,打开 @{browser_type:浏览器} 并进入初始网址 @{url:网址} ，将结果输出为浏览器对象 @{web_open}
BrowserSoftware.browser_close,关闭浏览器,关闭浏览器对象 @{browser_obj}
BrowserSoftware.set_cookies,设置Cookie,设置浏览器对象 @{browser_obj} 的 @{url} 的Cookie名称 @{cookie_name} 的值为 @{cookie_val}
BrowserSoftware.get_cookies,获取Cookie,获取浏览器对象 @{browser_obj} 的 @{url} 的Cookie名称 @{cookie_name} 的值，输出至 @{get_cookie}
BrowserSoftware.empty_cookies,清除Cookie,清除浏览器对象 @{browser_obj} @{url} 的Cookie数据
BrowserSoftware.web_open,打开新网页,打开浏览器对象 @{browser_obj} 并进入网址 @{new_tab_url} ，将结果输出为浏览器对象 @{web_new_page}
BrowserSoftware.web_switch,切换到已存在标签页,通过 @{switch_type} 的匹配方式切换到浏览器对象 @{browser_obj} 中的指定标签页
BrowserSoftware.wait_web_load,等待页面加载完成,等待浏览器对象 @{browser_obj} 中页面加载完成
BrowserSoftware.stop_web_load,停止加载网页,停止加载网页 @{browser_obj}
BrowserSoftware.web_refresh,刷新当前网页,刷新当前网页 @{browser_obj}
BrowserSoftware.web_close,关闭网页,关闭浏览器对象 @{browser_obj} 的当前网页
BrowserSoftware.screenshot,网页截图,将浏览器对象 @{browser_obj} 截图，并保存至路径 @{web_screen}
BrowserSoftware.browser_forward,网页前进,浏览器对象 @{browser_obj} 的当前网页前进
BrowserSoftware.browser_back,网页后退,浏览器对象 @{browser_obj} 的当前网页后退
